FAISS;Indexing Time;total_retrieval_time;total_generation_time;Semantic MRR;Context_Precision;Context_Recall;faithfulness;Semantic Similarity;Vectorstore_size;;;;;;;;;
"embedding_model = ""sentence-transformers/all-MiniLM-L12-v2""
LLM = “meta-llama/Llama-3.1-8B-Instruct”";0.6909;1.0231;47.1676;0.43;0.6667;0.8080;0.8065;0.4202;Size: 1.56 MB;;;;;;;;;
"embedding_model = ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2""
LLM = “meta-llama/Llama-3.1-8B-Instruct”";0.7265;1.0353;46.9043;0.36;0.5641;0.6724;0.8238;0.3103;Size: 1.56 MB;;;;;;;;;
"embedding_model = ""sentence-transformers/distiluse-base-multilingual-cased-v2""
LLM = “meta-llama/Llama-3.1-8B-Instruct”";0.7413;0.7643;38.5309;0.27;0.5897;0.7266;0.8583;0.1905;Size: 1.923 MB;;;;;;;;;
"embedding_model = ""intfloat/multilingual-e5-large""
LLM = “meta-llama/Llama-3.1-8B-Instruct”";2.3869;2.3980;50.4205;1.0;0.7660;0.8401;0.8510;0.8448;Size: 3.3704 MB;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
"embedding_model = ""sentence-transformers/all-MiniLM-L12-v2""
LLM = “mistralai/Ministral-8B-Instruct-2410”";0.7079;1.0912;71.3887;0.43;0.6587;0.8167;0.8992;0.5314;Size: 1.56 MB;;;;;;;;;
"embedding_model = ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2""
LLM = “mistralai/Ministral-8B-Instruct-2410”";0.7599;1.0554;69.6112;0.36;0.5545;0.6788;0.8070;0.5275;Size: 1.56 MB;;;;;;;;;
"embedding_model = ""sentence-transformers/distiluse-base-multilingual-cased-v2""
LLM = “mistralai/Ministral-8B-Instruct-2410”";0.7567;0.79472;59.5941;0.27;0.5897;0.6923;0.8248;0.3532;Size: 1.923 MB;;;;;;;;;
"embedding_model = ""intfloat/multilingual-e5-large""
LLM = “mistralai/Ministral-8B-Instruct-2410”";2.3979;2.4473;70.7174;1.0;0.7708;0.8465;0.9221;0.8606;Size: 3.3704 MB;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
"embedding_model = ""sentence-transformers/all-MiniLM-L12-v2""
LLM = “deepseek-ai/DeepSeek-R1-Distill-Llama-8B”";0.6900;1.0721;459.0984;0.43;0.6538;0.7904;0.8721;0.5268;Size: 1.561 MB;;;;;;;;;
"embedding_model = ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2""
LLM = “deepseek-ai/DeepSeek-R1-Distill-Llama-8B”";0.7351;1.06477;483.8181;0.36;0.5545;0.6740;0.8287;0.5069;Size: 1.561 MB;;;;;;;;;
"embedding_model = ""sentence-transformers/distiluse-base-multilingual-cased-v2""
LLM = “deepseek-ai/DeepSeek-R1-Distill-Llama-8B”";0.75032;0.79967;431.3752;0.27;0.6074;0.7218;0.8958;0.3537;Size: 1.923 MB;;;;;;;;;
